x_center_mm,y_center_mm,entries,mean_adc_per_mev,standard_error
-16.5,-19.5,0,0,0
-16.5,-18.5,4,77.32491596,1.291408761
-16.5,-17.5,4,76.39150405,1.625032576
-16.5,-16.5,9,77.80135436,0.9333952957
-16.5,-15.5,4,81.72448991,2.078220233
-16.5,-14.5,1,86.21099474,0
-16.5,-13.5,4,82.93755957,1.570238007
-16.5,-12.5,4,80.77087282,2.274882366
-16.5,-11.5,1,76.63847005,0
-16.5,-10.5,4,83.38694436,1.904144984
-16.5,-9.5,4,81.76046623,0.5681909641
-16.5,-8.5,1,85.35332244,0
-16.5,-7.5,2,84.53609102,1.543969247
-16.5,-6.5,2,84.15648686,3.514055673
-16.5,-5.5,2,89.5546768,3.320219388
-16.5,-4.5,3,80.59528606,1.898504041
-16.5,-3.5,6,84.00403606,2.073775008
-16.5,-2.5,2,90.33682568,0.07999260024
-16.5,-1.5,5,82.48741543,2.007964684
-16.5,-0.5,2,84.56393141,2.480880866
-16.5,0.5,2,83.81595495,0.1249885604
-16.5,1.5,4,91.23488034,0.8442264442
-16.5,2.5,7,86.52038677,1.513533089
-16.5,3.5,5,85.96405414,0.941361158
-16.5,4.5,6,83.99145634,1.287809676
-16.5,5.5,3,85.99795399,0.3643992337
-16.5,6.5,2,80.51681287,2.324422518
-16.5,7.5,10,85.34480323,1.043014943
-16.5,8.5,2,80.5320141,0.1281180487
-16.5,9.5,2,83.31720919,0.6976613509
-16.5,10.5,0,0,0
-16.5,11.5,4,85.78709574,1.578952609
-16.5,12.5,7,81.50109242,1.887346496
-16.5,13.5,4,78.60938257,2.037181406
-16.5,14.5,1,74.55328138,0
-16.5,15.5,4,78.41221369,1.836084475
-16.5,16.5,1,80.16012782,0
-16.5,17.5,2,80.51867286,1.768812681
-16.5,18.5,3,74.89941211,0.4535617339
-16.5,19.5,1,80.47609367,0
-15.5,-19.5,4,76.63985526,0.4708970179
-15.5,-18.5,2,77.42281845,0.4483540271
-15.5,-17.5,3,79.64052526,1.300095914
-15.5,-16.5,1,93.65070655,0
-15.5,-15.5,0,0,0
-15.5,-14.5,4,80.35289014,0.7344717941
-15.5,-13.5,3,77.28419602,0.2274639991
-15.5,-12.5,6,81.4547521,1.325542414
-15.5,-11.5,1,79.41125421,0
-15.5,-10.5,2,88.56120052,5.696066179
-15.5,-9.5,3,81.19892228,1.352605308
-15.5,-8.5,2,83.60186937,0.439433485
-15.5,-7.5,1,83.4578051,0
-15.5,-6.5,3,79.60785143,1.821439159
-15.5,-5.5,2,85.11722639,3.016168415
-15.5,-4.5,4,82.99746482,1.965189808
-15.5,-3.5,5,87.85117175,0.8566636766
-15.5,-2.5,2,87.74604323,1.095303724
-15.5,-1.5,4,86.34434305,2.553176767
-15.5,-0.5,2,88.47772499,1.991127907
-15.5,0.5,6,85.1359826,1.650961626
-15.5,1.5,1,91.84249969,0
-15.5,2.5,0,0,0
-15.5,3.5,2,90.11684234,1.12589957
-15.5,4.5,4,87.43188643,2.48612609
-15.5,5.5,1,88.93732382,0
-15.5,6.5,3,87.92616323,1.929439355
-15.5,7.5,4,82.9629397,0.653113232
-15.5,8.5,3,83.19733166,0.5421555426
-15.5,9.5,2,81.09589376,1.155204395
-15.5,10.5,5,83.93567164,1.440937783
-15.5,11.5,5,85.55934179,0.9649245484
-15.5,12.5,5,80.79934444,1.490792804
-15.5,13.5,8,79.67506177,0.9205255641
-15.5,14.5,5,82.65005096,1.928957231
-15.5,15.5,3,80.08451018,1.712320077
-15.5,16.5,6,78.01384179,0.8837570036
-15.5,17.5,4,77.92346417,2.208714864
-15.5,18.5,2,73.4254996,1.808793488
-15.5,19.5,4,79.03610365,1.923765021
-14.5,-19.5,5,78.25834487,2.091999515
-14.5,-18.5,3,80.96763319,0.9886277426
-14.5,-17.5,2,80.83432428,2.177257841
-14.5,-16.5,7,81.53962329,2.280602952
-14.5,-15.5,4,81.63404496,1.058915949
-14.5,-14.5,3,79.07315852,0.9472330307
-14.5,-13.5,3,79.68785104,2.045241606
-14.5,-12.5,7,83.94347313,1.159116909
-14.5,-11.5,4,82.62650548,1.171221354
-14.5,-10.5,3,83.45863007,1.912037884
-14.5,-9.5,1,81.74310484,0
-14.5,-8.5,4,85.79329944,2.913694012
-14.5,-7.5,2,93.50747162,4.068764117
-14.5,-6.5,2,85.91176402,1.314353068
-14.5,-5.5,4,87.09083296,1.540968983
-14.5,-4.5,0,0,0
-14.5,-3.5,2,90.90536076,0.8359710483
-14.5,-2.5,4,86.72543397,2.675135213
-14.5,-1.5,6,88.37878968,0.701942438
-14.5,-0.5,3,82.56286598,2.547472331
-14.5,0.5,2,85.85722688,0.9782144461
-14.5,1.5,2,86.99015161,2.223378695
-14.5,2.5,3,92.95761173,2.277173704
-14.5,3.5,2,85.44329346,1.817403263
-14.5,4.5,6,87.55775738,1.482310125
-14.5,5.5,2,81.60917917,3.548400821
-14.5,6.5,2,82.71204223,1.657585427
-14.5,7.5,2,84.67170788,5.062195361
-14.5,8.5,1,86.92057549,0
-14.5,9.5,2,80.63692219,1.649131745
-14.5,10.5,4,84.08046618,1.54528645
-14.5,11.5,4,82.39198012,1.565303243
-14.5,12.5,2,88.56746959,0.7006314145
-14.5,13.5,5,84.56561383,1.304698327
-14.5,14.5,8,82.80236438,0.9331710391
-14.5,15.5,6,80.79904831,1.311624526
-14.5,16.5,2,83.39344901,4.071536386
-14.5,17.5,1,86.26695037,0
-14.5,18.5,4,82.57296599,0.643289574
-14.5,19.5,4,79.72556314,0.5336781846
-13.5,-19.5,6,79.88236858,1.751675989
-13.5,-18.5,6,82.76176286,1.714287844
-13.5,-17.5,2,85.10925427,0.4488184406
-13.5,-16.5,1,76.2489051,0
-13.5,-15.5,2,81.72820181,1.140801727
-13.5,-14.5,6,82.05666387,1.207429508
-13.5,-13.5,2,80.85675157,0.02004730777
-13.5,-12.5,4,82.77955836,1.689922394
-13.5,-11.5,3,80.57262564,2.666505431
-13.5,-10.5,4,83.26336781,2.210448777
-13.5,-9.5,4,84.70459765,3.113326495
-13.5,-8.5,1,88.36117783,0
-13.5,-7.5,4,85.39145358,2.995051113
-13.5,-6.5,4,91.66561693,2.751891965
-13.5,-5.5,0,0,0
-13.5,-4.5,4,84.8858139,1.229409685
-13.5,-3.5,2,87.09366095,0.8161280277
-13.5,-2.5,4,89.77349082,2.761320992
-13.5,-1.5,7,91.76684161,1.510881986
-13.5,-0.5,3,88.98774598,4.035628943
-13.5,0.5,5,90.31953505,1.739742487
-13.5,1.5,2,87.39700421,0.44692781
-13.5,2.5,4,85.1904684,1.386534809
-13.5,3.5,2,88.30689343,2.738030153
-13.5,4.5,1,91.79636374,0
-13.5,5.5,4,87.02937308,1.142606946
-13.5,6.5,2,86.86613043,2.886886306
-13.5,7.5,6,87.88190804,1.607581211
-13.5,8.5,5,87.5100398,2.060339559
-13.5,9.5,3,88.58230866,0.8652608628
-13.5,10.5,6,82.66307587,1.468137881
-13.5,11.5,1,86.51846018,0
-13.5,12.5,1,85.5900047,0
-13.5,13.5,3,78.51502516,0.6212938383
-13.5,14.5,1,83.63422927,0
-13.5,15.5,3,79.6090287,1.763483045
-13.5,16.5,0,0,0
-13.5,17.5,2,81.21561987,0.249942813
-13.5,18.5,0,0,0
-13.5,19.5,0,0,0
-12.5,-19.5,5,84.48279777,1.996141624
-12.5,-18.5,6,77.94686012,0.9537203678
-12.5,-17.5,1,82.91834545,0
-12.5,-16.5,6,80.9041504,1.992675516
-12.5,-15.5,3,84.59176347,2.382298734
-12.5,-14.5,4,82.65974519,2.298319039
-12.5,-13.5,2,82.73965092,4.309262668
-12.5,-12.5,2,81.09550691,2.923570101
-12.5,-11.5,2,85.04082715,1.031598938
-12.5,-10.5,4,83.72122641,1.734318439
-12.5,-9.5,1,84.84785546,0
-12.5,-8.5,2,88.13849916,1.851173163
-12.5,-7.5,9,86.58555842,0.5605032018
-12.5,-6.5,1,84.55712256,0
-12.5,-5.5,7,89.34362527,1.219397223
-12.5,-4.5,1,91.33810928,0
-12.5,-3.5,0,0,0
-12.5,-2.5,2,95.83122387,1.875867298
-12.5,-1.5,3,92.21564155,2.104750846
-12.5,-0.5,2,89.33875955,1.596765809
-12.5,0.5,1,88.88667807,0
-12.5,1.5,1,92.05711851,0
-12.5,2.5,8,91.24734647,1.2517765
-12.5,3.5,1,90.44620611,0
-12.5,4.5,6,87.27922223,1.537162662
-12.5,5.5,4,93.57598477,2.43093735
-12.5,6.5,2,90.15402268,2.284997475
-12.5,7.5,1,91.61705239,0
-12.5,8.5,3,84.19841632,0.478616707
-12.5,9.5,2,82.00078812,1.059855982
-12.5,10.5,2,84.04449076,3.710033589
-12.5,11.5,5,84.22173401,0.8906712331
-12.5,12.5,1,81.48503834,0
-12.5,13.5,3,82.8560719,2.914585018
-12.5,14.5,2,84.69807199,0.832870063
-12.5,15.5,4,82.09130603,1.539268363
-12.5,16.5,4,80.79978784,1.810229996
-12.5,17.5,2,76.59769174,2.020533081
-12.5,18.5,0,0,0
-12.5,19.5,3,84.0398525,1.218084881
-11.5,-19.5,4,85.47714733,2.7935317
-11.5,-18.5,4,81.22658877,1.899654767
-11.5,-17.5,3,84.95814958,0.6888284654
-11.5,-16.5,3,80.3574421,0.5430554906
-11.5,-15.5,1,80.57840088,0
-11.5,-14.5,1,86.32778694,0
-11.5,-13.5,6,84.23777639,1.761743704
-11.5,-12.5,2,81.41241978,1.075705969
-11.5,-11.5,4,83.54947749,1.666815137
-11.5,-10.5,5,88.2839778,2.940431191
-11.5,-9.5,1,95.43456796,0
-11.5,-8.5,6,87.74114658,2.068259641
-11.5,-7.5,2,89.56345428,0.08114352925
-11.5,-6.5,1,87.20491999,0
-11.5,-5.5,3,92.87465964,5.793569849
-11.5,-4.5,1,88.35811463,0
-11.5,-3.5,3,85.82775516,1.064024489
-11.5,-2.5,4,93.21699001,1.680057764
-11.5,-1.5,1,90.71975148,0
-11.5,-0.5,5,93.78411903,1.610241109
-11.5,0.5,7,90.1216394,0.5736965522
-11.5,1.5,6,92.95660733,1.396676964
-11.5,2.5,2,92.68804909,0.1419434364
-11.5,3.5,3,96.19379024,1.157069299
-11.5,4.5,2,92.24471868,1.002106059
-11.5,5.5,3,85.87845812,1.256470603
-11.5,6.5,3,87.31836243,1.106720357
-11.5,7.5,4,89.78688785,1.2729635
-11.5,8.5,2,84.44314668,0.2158468151
-11.5,9.5,3,94.98509431,3.32954528
-11.5,10.5,7,87.39340141,1.019015704
-11.5,11.5,3,85.99084221,3.048502408
-11.5,12.5,7,85.58214863,0.996805793
-11.5,13.5,3,85.62205651,2.309062289
-11.5,14.5,5,84.09303683,0.8432798652
-11.5,15.5,2,80.62398647,0.3624456415
-11.5,16.5,6,82.13264508,1.495936343
-11.5,17.5,1,86.11313934,0
-11.5,18.5,4,81.29196747,1.121820836
-11.5,19.5,1,81.26786315,0
-10.5,-19.5,3,84.46978886,3.984713847
-10.5,-18.5,3,79.49098457,0.693209708
-10.5,-17.5,4,82.26029343,2.459990177
-10.5,-16.5,4,79.57958331,0.7802955177
-10.5,-15.5,2,80.41552656,2.47763183
-10.5,-14.5,4,85.28174402,1.195625204
-10.5,-13.5,1,81.58046513,0
-10.5,-12.5,3,85.72849284,3.310263098
-10.5,-11.5,2,92.56834111,0.8735446919
-10.5,-10.5,1,85.15432345,0
-10.5,-9.5,4,89.98651489,0.8782507575
-10.5,-8.5,1,84.9880369,0
-10.5,-7.5,6,92.44100047,1.374717138
-10.5,-6.5,1,92.37900703,0
-10.5,-5.5,3,92.99034918,0.558517451
-10.5,-4.5,5,93.09238012,3.269361372
-10.5,-3.5,2,96.1269604,0.8391743097
-10.5,-2.5,0,0,0
-10.5,-1.5,5,91.63033367,2.479516383
-10.5,-0.5,6,93.3363247,1.897287385
-10.5,0.5,5,93.30592916,1.650047283
-10.5,1.5,4,93.24054891,1.546705976
-10.5,2.5,3,95.14519654,2.4457767
-10.5,3.5,1,97.2666542,0
-10.5,4.5,4,91.07271744,2.815769706
-10.5,5.5,4,94.14779548,0.4101563569
-10.5,6.5,8,90.62568185,1.902800383
-10.5,7.5,1,96.83438233,0
-10.5,8.5,2,82.386241,2.247068124
-10.5,9.5,4,87.81496334,1.309321754
-10.5,10.5,3,90.57541138,0.2875247323
-10.5,11.5,2,95.8108927,3.386696839
-10.5,12.5,2,85.04650638,0.874820837
-10.5,13.5,2,88.74720082,1.647239768
-10.5,14.5,4,79.80561825,1.168011598
-10.5,15.5,2,80.78595751,0.1782721627
-10.5,16.5,4,84.43285611,1.350156844
-10.5,17.5,3,79.3195799,1.638990014
-10.5,18.5,3,81.19982919,0.9250867546
-10.5,19.5,0,0,0
-9.5,-19.5,4,76.99010968,2.294491032
-9.5,-18.5,3,80.50850364,1.745296721
-9.5,-17.5,1,84.07189334,0
-9.5,-16.5,1,88.84521234,0
-9.5,-15.5,2,83.73633684,0.660921706
-9.5,-14.5,3,85.80969205,2.114930443
-9.5,-13.5,2,82.02763748,2.203336866
-9.5,-12.5,2,91.81991485,2.116040894
-9.5,-11.5,0,0,0
-9.5,-10.5,2,87.7931728,0.3774660199
-9.5,-9.5,2,92.02378487,1.216192359
-9.5,-8.5,2,91.95699577,0.4493961007
-9.5,-7.5,3,89.8895635,1.720878833
-9.5,-6.5,2,97.63232897,4.013303994
-9.5,-5.5,1,83.7157906,0
-9.5,-4.5,3,97.63188985,1.869364629
-9.5,-3.5,3,89.57284461,2.325064621
-9.5,-2.5,2,99.74150255,0.5770297117
-9.5,-1.5,4,96.45988761,1.319333027
