x_center_mm,y_center_mm,entries,mean_adc_per_mev,standard_error
-4.5,8.5,14,201.0591366,1.891076217
-4.5,9.5,13,194.7655298,1.729056337
-3.5,-9.5,11,207.5685364,2.989596651
-3.5,-8.5,13,202.4204248,2.645371901
-3.5,-7.5,7,196.7832164,2.582093372
-3.5,-6.5,16,204.7437315,2.512255675
-3.5,-5.5,16,209.0909325,2.544818387
-3.5,-4.5,8,213.3009144,2.55905942
-3.5,-3.5,11,223.2042318,2.930842212
-3.5,-2.5,10,232.2022338,4.263488995
-3.5,-1.5,13,234.4931165,1.930408284
-3.5,-0.5,14,234.1589804,2.228997688
-3.5,0.5,12,232.5866377,2.906166731
-3.5,1.5,15,233.5766632,2.997802004
-3.5,2.5,23,229.5055115,2.169415584
-3.5,3.5,9,220.2437782,1.905306653
-3.5,4.5,10,211.4277643,3.741911129
-3.5,5.5,15,205.7941045,1.804139694
-3.5,6.5,13,206.2361106,2.922185019
-3.5,7.5,18,206.644318,2.530444524
-3.5,8.5,12,203.3494981,2.351461622
-3.5,9.5,18,199.5288531,2.858806855
-2.5,-9.5,12,201.9000139,1.891058895
-2.5,-8.5,10,198.9161856,2.668177277
-2.5,-7.5,9,206.7184632,3.829585933
-2.5,-6.5,18,210.6653967,2.29804578
-2.5,-5.5,11,209.4825078,3.483166986
-2.5,-4.5,18,221.3947812,1.979714762
-2.5,-3.5,10,220.7779592,3.596445196
-2.5,-2.5,9,250.1639963,3.808978303
-2.5,-1.5,10,252.3699528,2.099738041
-2.5,-0.5,15,255.527881,3.114219228
-2.5,0.5,17,253.2555081,2.664244457
-2.5,1.5,16,251.9124058,2.602146855
-2.5,2.5,14,247.0929239,2.501114952
-2.5,3.5,13,226.8528345,3.988409956
-2.5,4.5,16,220.0866225,2.466021405
-2.5,5.5,16,210.2828327,2.353886066
-2.5,6.5,10,206.4152679,3.272529409
-2.5,7.5,10,202.0569069,2.891161468
-2.5,8.5,12,198.4346255,2.289521062
-2.5,9.5,18,203.4808292,2.262132963
-1.5,-9.5,8,207.2903009,4.190022029
-1.5,-8.5,8,197.3314211,2.685950148
-1.5,-7.5,16,209.2530864,3.196752946
-1.5,-6.5,15,207.1721533,2.79331772
-1.5,-5.5,12,212.9753662,2.336373546
-1.5,-4.5,9,220.5520977,2.662590959
-1.5,-3.5,11,229.8122545,2.216222529
-1.5,-2.5,9,258.13845,4.857598489
-1.5,-1.5,12,257.8845991,3.250490685
-1.5,-0.5,11,260.9335727,3.960875995
-1.5,0.5,11,266.8420103,2.877095306
-1.5,1.5,15,258.5613348,2.558516206
